UID         PID   PPID  C STIME TTY          TIME CMD
zxy        3353      1  0 11月26 ?      00:00:00 /usr/libexec/gvfsd-metadata
zxy        3358   2872  0 11月26 ?      00:00:38 /usr/libexec/ibus-engine-simple
root       3433      1  0 11月26 ?      00:00:21 /usr/libexec/fwupd/fwupd
zxy        3484      1  0 11月26 ?      00:03:16 /usr/libexec/gnome-terminal-server
zxy        3492   3484  0 11月26 ?      00:00:00 gnome-pty-helper
zxy        3493   3484  0 11月26 pts/0  00:00:02 bash
zxy        4690      1  0 11月26 ?      00:00:01 /usr/libexec/gconfd-2
root      29742      2  0 14:50 ?        00:00:00 [kworker/u256:0]
root      31293      2  0 15:08 ?        00:00:01 [kworker/0:1]
root      31374      2  0 15:10 ?        00:00:00 [kworker/u256:1]
postfix   31862   2014  0 15:18 ?        00:00:00 pickup -l -t unix -u
root      32229      2  0 15:24 ?        00:00:00 [kworker/0:3]
root      32512      2  0 15:29 ?        00:00:00 [kworker/0:0]
root      32535      2  0 15:30 ?        00:00:00 [kworker/u256:2]
root      32829      2  0 15:32 ?        00:00:00 [kworker/0:2]
root      33090   1277  0 15:34 ?        00:00:00 sleep 60
zxy       33184   3493  0 15:34 pts/0    00:00:00 ps -ef
zxy       49781   3484  0 11月29 pts/1  00:00:02 bash
zxy       77181   2633  0 11月29 ?      00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root      98889   1174  0 11月29 ?      00:00:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-ens33.pid -lf /var/lib/NetworkManager/dhclient-9f730a34-08ee-4c6a-9043-9b87a423c551-ens33.lease -cf /var/lib/NetworkManager/dhclient-ens33.conf ens33
zxy      100840  49781  0 11月29 pts/1  00:00:00 less bits/utmp.h
